School_Name,Address_Line_1,Address_Town,Postal_Postcode,Full_Phone_No,School URL,ICSEA,School_Type,Campus Type,LGA_Name,Suburb,Education_Sector,School Type,Year Range,Geolocation,Total Enrolments,Girls Enrolments,Boys Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%)
Great Ryrie Primary School,51A Great Ryrie Street,Heathmont,3135.0,03 9870 6098,http://www.greatryrieps.vic.edu.au,1055.0,Primary,School Single Entity,Maroondah (C),Heathmont,Government,Primary,Prep-6,Major Cities,554.0,263.0,291.0,1.0,41.0
Timbarra P-9 College,159-197 Parkhill Drive,Berwick,3806.0,03 9704 2744,http://www.timbarrap9.vic.edu.au,1019.0,Pri/Sec,School Single Entity,Casey (C),Berwick,Government,Combined,Prep-9,Major Cities,567.0,247.0,320.0,2.0,28.0
Parkwood Green Primary School,178 Community Hub,Hillside,3037.0,03 9449 3600,http://www.parkwoodgreenps.vic.edu.au/,1017.0,Primary,School Single Entity,Melton (C),Hillside,Government,Primary,Prep-6,Major Cities,637.0,302.0,335.0,2.0,51.0
Hillsmeade Primary School,82S The Promenade,Narre Warren South,3805.0,03 9704 6313,http://hillsmeade.vic.edu.au,1005.0,Primary,School Single Entity,Casey (C),Narre Warren South,Government,Primary,Prep-6,Major Cities,835.0,390.0,445.0,1.0,47.0
Roxburgh Park Primary School,7-21 Almands Avenue,Roxburgh Park,3064.0,03 9303 9335,http://roxburghparkps.vic.edu.au,963.0,Primary,School Single Entity,Hume (C),Roxburgh Park,Government,Primary,Prep-6,Major Cities,402.0,182.0,220.0,0.0,85.0
Carranballac P-9 College,Cnr Foxwood Dve & Dunnings Rd,Point Cook,3030.0,03 9395 3533,http://www.carranballac.vic.edu.au,1019.0,Pri/Sec,School Head Campus,Wyndham (C),Point Cook,Government,Combined,Prep-9,Major Cities,1058.0,480.0,578.0,2.0,53.0
Benton Junior College,261 Racecourse Road,Mornington,3931.0,03 5973 9100,http://benton.vic.edu.au,1044.0,Primary,School Single Entity,Mornington Peninsula (S),Mornington,Government,Primary,Prep-6,Major Cities,689.0,320.0,369.0,3.0,8.0
Caulfield Primary School,724 Glen Huntly Road,Caulfield South,3162.0,03 9523 7932,http://www.caulfieldps.vic.edu.au,1139.0,Primary,School Single Entity,Glen Eira (C),Caulfield South,Government,Primary,Prep-6,Major Cities,293.0,161.0,132.0,0.0,57.0
East Gippsland Specialist School,31 Calvert Street,Bairnsdale,3875.0,03 5152 5922,http://www.eastgippslandss.vic.edu.au,894.0,Special,School Single Entity,East Gippsland (S),Bairnsdale,Government,Special,U,Outer Regional,79.0,23.0,56.0,25.0,9.0
Roxburgh Rise Primary School,35 - 59 Lockwood Drive,Roxburgh Park,3064.0,03 9305 4334,http://www.roxburghrise-ps.vic.edu.au/,948.0,Primary,School Single Entity,Hume (C),Roxburgh Park,Government,Primary,Prep-6,Major Cities,678.0,315.0,363.0,1.0,87.0
Lynbrook Primary School,Paterson Drive,Lynbrook,3975.0,03 8787 5390,http://www.lynbrookps.vic.edu.au,1023.0,Primary,School Single Entity,Casey (C),Lynbrook,Government,Primary,Prep-6,Major Cities,845.0,417.0,428.0,1.0,76.0
South Gippsland Specialist School,13 Horn Street,Leongatha,3953.0,03 5662 4496,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=53535524-ed32-de11-9c94-002185cd8e5c,952.0,Special,School Single Entity,South Gippsland (S),Leongatha,Government,Special,U,Inner Regional,65.0,19.0,46.0,11.0,9.0
Laurimar Primary School,Armidale Road,Doreen,3754.0,03 9717 7100,http://www.laurimarps.vic.edu.au,1030.0,Primary,School Single Entity,Whittlesea (C),Doreen,Government,Primary,Prep-6,Major Cities,958.0,448.0,510.0,3.0,22.0
Truganina South Primary School,3-19 Parkvista Drive,Truganina,3029.0,03 9296 1800,http://www.truganinasouthps.vic.edu.au/,1045.0,Primary,School Single Entity,Wyndham (C),Truganina,Government,Primary,Prep-6,Major Cities,693.0,324.0,369.0,1.0,78.0
Kororoit Creek Primary School,130 Tenterfield Drive,Burnside Heights,3023.0,03 8358 0600,http://kororoitcreekps.vic.edu.au,1078.0,Primary,School Single Entity,Melton (C),Burnside Heights,Government,Primary,Prep-6,Major Cities,1302.0,633.0,669.0,0.0,74.0
Harvest Home Primary School,365 Harvest Home Road,Epping,3076.0,03 8468 9000,http://www.harvesthomeps.vic.edu.au,1043.0,Primary,School Single Entity,Whittlesea (C),Epping,Government,Primary,Prep-6,Major Cities,1031.0,519.0,512.0,1.0,61.0
Truganina P-9 College,55 Clearwood Drive,Truganina,3029.0,03 9368 9800,http://truganinap9.vic.edu.au/,1049.0,Pri/Sec,School Single Entity,Wyndham (C),Truganina,Government,Combined,Prep-9,Major Cities,2412.0,1149.0,1263.0,0.0,91.0
